title,game_name,game_alias,game_image_url,game_web_link,review_score,profile_dev,profile_platforms,release_world,main_story,main_extra,completionist,all_styles,
"recore","ReCore","ReCore: Definitive Edition","https://howlongtobeat.com/games/26789_ReCore.jpg","https://howlongtobeat.com/game/26789","62","Comcept, Armature Studio","['PC', 'Xbox One']","2016","12.18","18.8","38.36","16.24",
"watch dogs 2","Watch Dogs 2","WATCH_DOGS2","https://howlongtobeat.com/games/37861_Watch_Dogs_2.jpg","https://howlongtobeat.com/game/37861","75","Ubisoft Montreal","['Google Stadia', 'PC', 'PlayStation 4', 'Xbox One']","2016","19.13","31.46","46.21","29.64",
"dishonored 2","Dishonored 2","","https://howlongtobeat.com/games/26731_Dishonored_2.jpg","https://howlongtobeat.com/game/26731","82","Arkane Studios","['PC', 'PlayStation 4', 'Xbox One']","2016","12.43","22.73","44.78","20.54",
"planet coaster","Planet Coaster","","https://howlongtobeat.com/games/40413_Planet_Coaster.jpg","https://howlongtobeat.com/game/40413","75","Frontier Developments","['PC', 'PlayStation 4', 'PlayStation 5', 'Xbox One']","2016","25.91","46.15","74.55","47.7",
"mafia series",,,,,,,,,,,,,
"sleeping dogs","Sleeping Dogs","","https://howlongtobeat.com/games/260px-Sleeping_Dogs_-_Square_Enix_video_game_cover.jpg","https://howlongtobeat.com/game/8640","82","United Front Games, Square Enix London Studios","['PC', 'PlayStation 3', 'Xbox 360']","2012","15.3","22.32","34.08","21.56",
"mgs rising",,,,,,,,,,,,,
"undertale","Undertale","","https://howlongtobeat.com/games/Undertale_header.jpg","https://howlongtobeat.com/game/30385","86","Tobyfox","['Nintendo Switch', 'PC', 'PlayStation 4', 'PlayStation Vita', 'Xbox One']","2015","6.75","10.87","20.7","9.72",
"evil within 2","The Evil Within 2","","https://howlongtobeat.com/games/46568_The_Evil_Within_2.jpg","https://howlongtobeat.com/game/46568","81","Tango Gameworks","['PC', 'PlayStation 4', 'Xbox One']","2017","13.33","18.48","27.84","17.48",
"shadow of war","Middle-Earth: Shadow of War","La Terre du Milieu L'Ombre de la Guerre","https://howlongtobeat.com/games/44022_Middle_Earth_Shadow_of_War.jpg","https://howlongtobeat.com/game/44022","76","Monolith Productions","['PC', 'PlayStation 4', 'Xbox One']","2017","20.37","36.03","55.07","36.33",
"south park: the fractured but whole","South Park: The Fractured But Whole","","https://howlongtobeat.com/games/26801_South_Park_The_Fractured_But_Whole.jpg","https://howlongtobeat.com/game/26801","79","Ubisoft San Francisco, South Park Digital Studios","['Nintendo Switch', 'PC', 'PlayStation 4', 'Xbox One']","2017","17.73","22.16","27.27","22.18",
"headlander","Headlander","","https://howlongtobeat.com/games/38906_Headlander.jpg","https://howlongtobeat.com/game/38906","72","Double Fine Productions","['PC', 'PlayStation 4', 'Xbox One']","2016","5.51","7.39","8.24","7.54",
"i am setsuna","I Am Setsuna","","https://howlongtobeat.com/games/38137_I_Am_Setsuna.jpg","https://howlongtobeat.com/game/38137","71","Tokyo RPG Factory","['Nintendo Switch', 'PC', 'PlayStation 4', 'PlayStation Vita']","2016","20.33","26.04","44.58","25.4",
"three fourths home","Three Fourths Home","Three Fourths Home: Extended Edition","https://howlongtobeat.com/games/ThreeFourthsHome_branding.png","https://howlongtobeat.com/game/19848","63","[Bracket] Games","['PC', 'Nintendo Switch', 'PlayStation 4', 'PlayStation Vita', 'Xbox One']","2014","1.1","1.34","2.26","1.6",
"the hex","The Hex","","https://howlongtobeat.com/games/61955_The_hex.jpg","https://howlongtobeat.com/game/61955","77","Daniel Mullins Games","['PC']","2018","5.2","6.18","12.02","6.07",
"pony island","Pony Island","","https://howlongtobeat.com/games/Pony_Island_header.jpg","https://howlongtobeat.com/game/33405","73","Daniel Mullins Games","['PC']","2016","2.35","2.83","4.83","2.8",
"assasins creed series (pirate game)",,,,,,,,,,,,,
"star control origins","Star Control: Origins","","https://howlongtobeat.com/games/50145_Star_Control_Origins.jpg","https://howlongtobeat.com/game/50145","66","Stardock Entertainment","['PC']","2018","11.98","29.77","30.25","24.7",
"eternal castle","The Eternal Castle [REMASTERED]","","https://howlongtobeat.com/games/63226_The_Eternal_Castle_[REMASTERED].jpg","https://howlongtobeat.com/game/63226","71","Leonard Menchiari, Daniele Vicinanzo, Giulio Perrone","['Nintendo Switch', 'PC']","2019","2.59","3.05","11.66","2.92",
"resident evil 2 remake","Resident Evil 2","Resident Evil 2 Remake, Biohazard RE:2","https://howlongtobeat.com/games/57479_Resident_Evil_2_(2019).jpg","https://howlongtobeat.com/game/57479","88","Capcom R&D Division 1","['Nintendo Switch', 'PC', 'PlayStation 4', 'PlayStation 5', 'Xbox One', 'Xbox Series X/S']","2019","8.67","14.77","34.29","11.76",
"my time at portia","My Time At Portia","","https://howlongtobeat.com/games/52787_My_Time_At_Portia.jpg","https://howlongtobeat.com/game/52787","72","Pathea Games","['Mobile', 'Nintendo Switch', 'PC', 'PlayStation 4', 'Xbox One']","2018","70.35","105.73","135.68","102.28",
"lucious",,,,,,,,,,,,,
"eastshade","Eastshade","","https://howlongtobeat.com/games/65001_Eastshade.jpg","https://howlongtobeat.com/game/65001","75","Eastshade Studios","['PC', 'PlayStation 4', 'Xbox One']","2019","9.23","12.42","13.6","12.49",
"insomnia the ark","INSOMNIA: The Ark","","https://howlongtobeat.com/games/60102_INSOMNIA_The_Ark.jpg","https://howlongtobeat.com/game/60102","50","Mono Studio","['PC']","2018","0.0","45.97","76.0","57.09",
"tick tock a tale for two","Tick Tock: A Tale for Two","","https://howlongtobeat.com/games/65505_Tick_Tock_A_Tale_for_Two.jpg","https://howlongtobeat.com/game/65505","70","Other Tales Interactive","['Mobile', 'PC', 'Nintendo Switch']","2019","1.92","2.02","2.29","1.99",
"duck season pass",,,,,,,,,,,,,
"mutant year zero","Mutant Year Zero: Road to Eden","","https://howlongtobeat.com/games/62811_Mutant_Year_Zero_Road_to_Eden.jpg","https://howlongtobeat.com/game/62811","75","The Bearded Ladies","['Nintendo Switch', 'PC', 'PlayStation 4', 'Xbox One']","2018","13.07","17.66","23.29","17.9",
"ni no kuni series",,,,,,,,,,,,,
"astroneer","Astroneer","","https://howlongtobeat.com/games/42182_Astroneer.jpg","https://howlongtobeat.com/game/42182","73","System Era Softworks","['Nintendo Switch', 'PC', 'PlayStation 4', 'Xbox One']","2016","20.87","46.79","63.17","44.24",
"syndicate","Syndicate","","https://howlongtobeat.com/games/240px-20110912_synd_no_rating_jpg_jpgcopy.jpg","https://howlongtobeat.com/game/9534","67","Starbreeze Studios","['PC', 'PlayStation 3', 'Xbox 360', 'Xbox One']","2012","6.04","7.94","9.29","6.24",
"spacehulk",,,,,,,,,,,,,
"prey 2",,,,,,,,,,,,,
